sprcode,username,password,providerDropDownValue
TP1,tp1.readwrite@gmail.com,5(#;V:>}}&|+PnO,TP1 - Testprovider 1
TP4,tp4.super@gmail.com,y327LjH^@y+7b^H8,TP4 - Testprovider 4
TP5,tp5.superuser@gmail.com,4-69VXC#SuYX_R@z,TP5 - Testprovider 5
TP8,tprovider08@gmail.com,CoinTP08##,TP8 - Testprovider 8
TP9,tprovider09@gmail.com,CoinTP09##,TP9 - Testprovider 9
TP10,tprovider10@gmail.com,CoinTP10##,TP10 - Testprovider 10
TP12,tprovider12@gmail.com,CoinTP12##,TP12 - Testprovider 12
TP13,tprovider13@gmail.com,CoinTP13##,TP13 - Testprovider 13
TP14,tprovider14@gmail.com,CoinTP14##,TP14 - Testprovider 14
TP15,tprovider15@gmail.com,CoinTP15##,TP15 - Testprovider 15
TP16,tprovider16@gmail.com,CoinTP16##,TP16 - Testprovider 16
TP17,tprovider17@gmail.com,CoinTP17##,TP17 - Testprovider 17
TP18,tprovider18@gmail.com,CoinTP18##,TP18 - Testprovider 18
TP19,tprovider19@gmail.com,CoinTP19##,TP19 - Testprovider 19
TP20,tprovider20@gmail.com,CoinTP20##,TP20 - Testprovider 20
ADMIN,hemasundar@xebia.com,WelCome!!, 
